ticker,company_name,gics_industry_group,market_cap,close_price,currency,shares_outstanding,volume_latest,avg_volume_252d,total_volume_252d,turnover_ratio_ttm,gics_sub_industry,sector,long_business_summary,net_income_ttm,eps_ttm,free_cash_flow_ttm,missing_fields
SGH,SGH LIMITED,Capital Goods,16336906240.0,40.14,AUD,406998167,519178,475066,119716653,0.294145,N/A,N/A,N/A,522900000.0,N/A,651000000.0,"gics_sub_industry,sector,long_business_summary,eps_ttm"
GCI,GRYPHON CAPITAL INCOME TRUST,Not Applic,1303698688.0,2.05,AUD,635950578,1129395,830537,209295535,0.329107,Asset Management,Financial Services,N/A,68789000.0,0.16,-368645000.0,long_business_summary
DGT,DIGICO INFRASTRUCTURE REIT,Class Pend,1278594560.0,2.31,AUD,553504142,3359843,2621152,660530387,1.193361,REIT - Specialty,Real Estate,"DigiCo Infrastructure REIT (DGT) is a diversified owner, operator and developer of data centres, with a global portfolio and broad investment mandate across Stabilized, Value-add and Development opportunities. DGT's portfolio consists of data center assets across key Australian and North American markets with 172MW of planned IT capacity, including 85MW of Contracted IT capacity. DigiCo Infrastructure REIT was established on November 01, 2024.",N/A,N/A,N/A,"net_income_ttm,eps_ttm,free_cash_flow_ttm"
OPT,OPTHEA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",820786880.0,0.6,AUD,1367978173,0,0,0,N/A,Biotechnology,Healthcare,"Opthea Limited, a clinical-stage biopharmaceutical company, researches and develops therapeutic products based on targeting vascular endothelial growth factors (VEGF) C, D and R3 in Australia and the United States. The company's pipeline includes Sozinibercept, which is in phase 3 to treat wet age-related macular degeneration (Wet AMD), as well as in phase 2 to treat diabetic macular edema (DME). It serves the biotechnology and healthcare industries. The company was formerly known as Circadian Technologies Limited and changed its name to Opthea Limited in December 2015. Opthea Limited was incorporated in 1984 and is headquartered in Melbourne, Australia.",-162791000.0,-0.43,-158657000.0,turnover_ratio_ttm
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,Not Applic,631990784.0,2.76,AUD,228982167,133462,170305,42916992,0.187425,Asset Management,Financial Services,N/A,106818021.0,0.08,-2552977.0,long_business_summary
G6M,GROUP 6 METALS LIMITED,Materials,6188409.0,2.5,AUD,247536349,0,0,0,N/A,Other Industrial Metals & Mining,Basic Materials,"Group 6 Metals Limited operates as resources exploration and development company in Tasmania and Europe. It explores for tungsten concentrate. The company focuses on the Dolphin Tungsten mine located in King Island, Tasmania. The company was formerly known as King Island Scheelite Limited and changed its name to Group 6 Metals Limited in November 2021. Group 6 Metals Limited was incorporated in 1966 and is based in King Island, Australia.",-133577000.0,-2.1,-32235000.0,turnover_ratio_ttm
MOT,METRICS INCOME OPPORTUNITIES TRUST,Not Applic,567157056.0,1.7,AUD,333621790,554697,584746,147356177,0.441686,Asset Management,Financial Services,N/A,60231000.0,0.18,49990000.0,long_business_summary
MA1,MA CREDIT INCOME TRUST,Not Applic,552156800.0,1.975,AUD,279573056,443149,620031,156248019,0.558881,Asset Management,Financial Services,N/A,N/A,N/A,N/A,"long_business_summary,net_income_ttm,eps_ttm,free_cash_flow_ttm"
PE1,PENGANA PRIVATE EQUITY TRUST,Not Applic,446793056.0,1.675,AUD,266742131,357215,366771,92426389,0.346501,Asset Management,Financial Services,N/A,50015000.0,0.1,50096000.0,long_business_summary
PC2,PC GOLD LTD,Materials,426055104.0,1.36,AUD,313275801,269239,905469,115900158,0.369962,Gold,Basic Materials,"PC Gold Limited engages in the development and exploration of gold deposits. It owns 100% interest in the Spring Hill gold project located in the Pine Creek region of the Northern Territory, Australia. The company was incorporated in 2015 and is based in Peppermint Grove, Australia.",N/A,-0.02,N/A,"net_income_ttm,free_cash_flow_ttm"
REV,REVOLUTION PRIVATE CREDIT INCOME TRUST,Not Applic,392045952.0,1.97,AUD,0,249389,498944,73344860,0.368552,Asset Management,Financial Services,N/A,N/A,N/A,N/A,"long_business_summary,net_income_ttm,eps_ttm,free_cash_flow_ttm"
AIH,ADVANCED INNERGY HOLDINGS LIMITED,Capital Goods,369550624.0,0.875,AUD,422343593,178694,239187,28702556,0.06796,Specialty Industrial Machinery,Industrials,"Advanced Innergy Holdings Limited designs, engineers, manufactures, and installs mission-critical insulation, buoyancy, cable protection, and fire protection systems for energy and industrial applications. The company's products include buoyancy, floats, ballast, bend and fatigue protection, impact and abrasion protection, subsea insulation, fire protection, offshore wind, marine sprayed fenders, water intake risers, and battery protection. It serves battery protection, defence, chemicals, industrial, marine, offshore wind, oil and gas, ports and harbours, and power industries. Advanced Innergy Holdings Limited was founded in 1993 and is based in Gloucester, The United Kingdom.",7637000.0,0.03,N/A,free_cash_flow_ttm
TM1,TERRA METALS LIMITED,Energy,350033248.0,0.36,AUD,972314575,1028523,2445464,616257176,0.633804,Other Precious Metals & Mining,Basic Materials,"Terra Metals Limited engages in mineral exploration and development activities in Australia. It explores in copper, gold, platinum group elements, vanadium, and titanium. The company's flagship project is the 100% owned Dante project located to the West Musgrave region of Western Australia. The company was formerly known as GCX Metals Limited and changed its name to Terra Metals Limited in April 2024. Terra Metals Limited was incorporated in 2012 and is based in Perth, Australia.",N/A,-0.02,N/A,"net_income_ttm,free_cash_flow_ttm"
