ticker,company_name,gics_industry_group,issue_type,issues
AFT,N/A,N/A,download_failure,no price history
AF4,N/A,N/A,download_failure,no price history
AF6,N/A,N/A,download_failure,no price history
AF5,N/A,N/A,download_failure,no price history
AC2,N/A,N/A,download_failure,no price history
AC3,N/A,N/A,download_failure,no price history
AF2,N/A,N/A,download_failure,no price history
AF7,N/A,N/A,download_failure,no price history
AP2,N/A,N/A,download_failure,no price history
AO2,N/A,N/A,download_failure,no price history
AO3,N/A,N/A,download_failure,no price history
ATB,N/A,N/A,download_failure,no price history
ANV,N/A,N/A,download_failure,no price history
AN3,N/A,N/A,download_failure,no price history
XCL,N/A,N/A,download_failure,no price history
AYU,N/A,N/A,download_failure,no price history
B01,N/A,N/A,download_failure,no price history
BW6,N/A,N/A,download_failure,no price history
BS1,N/A,N/A,download_failure,no price history
BST,N/A,N/A,download_failure,no price history
BP1,N/A,N/A,download_failure,no price history
DXA,N/A,N/A,download_failure,no price history
CIM,N/A,N/A,download_failure,no price history
CPL,N/A,N/A,download_failure,no price history
DMN,N/A,N/A,download_failure,no price history
DA8,N/A,N/A,download_failure,no price history
D11,N/A,N/A,download_failure,no price history
DAM,N/A,N/A,download_failure,no price history
DA9,N/A,N/A,download_failure,no price history
DAT,N/A,N/A,download_failure,no price history
D10,N/A,N/A,download_failure,no price history
EMI,N/A,N/A,download_failure,no price history
FM3,N/A,N/A,download_failure,no price history
FM2,N/A,N/A,download_failure,no price history
FM5,N/A,N/A,download_failure,no price history
FM1,N/A,N/A,download_failure,no price history
HC1,N/A,N/A,download_failure,no price history
IF1,N/A,N/A,download_failure,no price history
IBK,N/A,N/A,download_failure,no price history
IFX,N/A,N/A,download_failure,no price history
KAO,N/A,N/A,download_failure,no price history
KFW,N/A,N/A,download_failure,no price history
KIG,N/A,N/A,download_failure,no price history
KI1,N/A,N/A,download_failure,no price history
KTK,N/A,N/A,download_failure,no price history
LT9,N/A,N/A,download_failure,no price history
LR1,N/A,N/A,download_failure,no price history
LR4,N/A,N/A,download_failure,no price history
LR3,N/A,N/A,download_failure,no price history
LR5,N/A,N/A,download_failure,no price history
LR6,N/A,N/A,download_failure,no price history
LCN,N/A,N/A,download_failure,no price history
LFT,N/A,N/A,download_failure,no price history
LP1,N/A,N/A,download_failure,no price history
LI8,N/A,N/A,download_failure,no price history
LN1,N/A,N/A,download_failure,no price history
LN2,N/A,N/A,download_failure,no price history
LN3,N/A,N/A,download_failure,no price history
LO1,N/A,N/A,download_failure,no price history
MA2,N/A,N/A,download_failure,no price history
ML2,N/A,N/A,download_failure,no price history
MBL,N/A,N/A,download_failure,no price history
MZF,N/A,N/A,download_failure,no price history
MZT,N/A,N/A,download_failure,no price history
MZ1,N/A,N/A,download_failure,no price history
MZ2,N/A,N/A,download_failure,no price history
MF3,N/A,N/A,download_failure,no price history
MF5,N/A,N/A,download_failure,no price history
MF4,N/A,N/A,download_failure,no price history
MF6,N/A,N/A,download_failure,no price history
MM2,N/A,N/A,download_failure,no price history
MM4,N/A,N/A,download_failure,no price history
NRO,N/A,N/A,download_failure,no price history
NRP,N/A,N/A,download_failure,no price history
RM1,N/A,N/A,download_failure,no price history
NBS,N/A,N/A,download_failure,no price history
XNC,N/A,N/A,download_failure,no price history
NW1,N/A,N/A,download_failure,no price history
NFN,N/A,N/A,download_failure,no price history
OYS,N/A,N/A,download_failure,no price history
OY1,N/A,N/A,download_failure,no price history
OR2,N/A,N/A,download_failure,no price history
ZOR,N/A,N/A,download_failure,no price history
PA1,N/A,N/A,download_failure,no price history
PA3,N/A,N/A,download_failure,no price history
PA2,N/A,N/A,download_failure,no price history
PA4,N/A,N/A,download_failure,no price history
PA5,N/A,N/A,download_failure,no price history
PA6,N/A,N/A,download_failure,no price history
PEP,N/A,N/A,download_failure,no price history
PR4,N/A,N/A,download_failure,no price history
PU6,N/A,N/A,download_failure,no price history
PU8,N/A,N/A,download_failure,no price history
PU9,N/A,N/A,download_failure,no price history
POT,N/A,N/A,download_failure,no price history
POB,N/A,N/A,download_failure,no price history
POC,N/A,N/A,download_failure,no price history
POF,N/A,N/A,download_failure,no price history
POE,N/A,N/A,download_failure,no price history
POH,N/A,N/A,download_failure,no price history
POG,N/A,N/A,download_failure,no price history
PGS,N/A,N/A,download_failure,no price history
POI,N/A,N/A,download_failure,no price history
PUT,N/A,N/A,download_failure,no price history
PUU,N/A,N/A,download_failure,no price history
PS2,N/A,N/A,download_failure,no price history
PUV,N/A,N/A,download_failure,no price history
QNB,N/A,N/A,download_failure,no price history
XQL,N/A,N/A,download_failure,no price history
RAM,N/A,N/A,download_failure,no price history
RA2,N/A,N/A,download_failure,no price history
RA3,N/A,N/A,download_failure,no price history
SGL,N/A,N/A,download_failure,no price history
SFV,N/A,N/A,download_failure,no price history
SP4,N/A,N/A,download_failure,no price history
SP5,N/A,N/A,download_failure,no price history
SP6,N/A,N/A,download_failure,no price history
SCW,N/A,N/A,download_failure,no price history
SCA,N/A,N/A,download_failure,no price history
BA2,N/A,N/A,download_failure,no price history
WE1,N/A,N/A,download_failure,no price history
WB1,N/A,N/A,download_failure,no price history
WSE,N/A,N/A,download_failure,no price history
WS1,N/A,N/A,download_failure,no price history
WS2,N/A,N/A,download_failure,no price history
SHZ,N/A,N/A,download_failure,no price history
SC1,N/A,N/A,download_failure,no price history
SPP,N/A,N/A,download_failure,no price history
TES,N/A,N/A,download_failure,no price history
TT1,N/A,N/A,download_failure,no price history
TT2,N/A,N/A,download_failure,no price history
TA1,N/A,N/A,download_failure,no price history
XVG,N/A,N/A,download_failure,no price history
TT6,N/A,N/A,download_failure,no price history
VCD,N/A,N/A,download_failure,no price history
VPG,N/A,N/A,download_failure,no price history
WEF,N/A,N/A,download_failure,no price history
WEN,N/A,N/A,download_failure,no price history
WFE,N/A,N/A,download_failure,no price history
49M,49 METALS LIMITED,Materials,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
BSR,BISON RESOURCES LIMITED,Materials,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
CMX,CHEMX MATERIALS LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
CL8,CL8 HOLDINGS LIMITED,Transportation,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
CLZ,CLASSIC MINERALS LTD,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
DN1,DOMINION INCOME TRUST 1,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
ENN,ELANOR INVESTORS GROUP,Consumer Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
FFG,FATFISH GROUP LIMITED,Financial Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
FCG,FREEDOM CARE GROUP HOLDINGS LIMITED,Health Care Equipment & Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
GTG,GENETIC TECHNOLOGIES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
GCR,GOLDEN CROSS RESOURCES LTD,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
G6M,GROUP 6 METALS LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
HXL,HEXIMA LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,Real Estate Management & Development,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
KIT,KAPSTREAM INVESTMENT TRUST,Class Pend,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
KBC,KEYBRIDGE CAPITAL LIMITED,Financial Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
KKC,KKR CREDIT INCOME FUND,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
KOR,KORAB RESOURCES LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
LGF,L1 GOLD FUND LIMITED,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
LF1,LA TROBE PRIVATE CREDIT FUND,Not Applic,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
MBG,MB GOLD LIMITED,Materials,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
MRE,METRICS REAL ESTATE MULTI-STRATEGY FUND,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
MRC,MINERAL COMMODITIES LTD,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
NRZ,NEURIZER LTD,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
NNG,NEXION GROUP LTD,Software & Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
OPN,OPENN NEGOTIATION LIMITED,Commercial & Professional Services,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
OPT,OPTHEA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
OZZ,OZZ RESOURCES LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
PNM,PACIFIC NICKEL MINES LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
PCX,PENGANA GLOBAL PRIVATE CREDIT TRUST,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
PCI,PERPETUAL CREDIT INCOME TRUST,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
RIL,REDIVIUM LIMITED,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
RG8,REGAL ASIAN INVESTMENTS LIMITED,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
RF1,REGAL INVESTMENT FUND,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
RG1,REGAL PARTNERS GLOBAL INVESTMENTS LIMITED,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
RIV,RIVCO AUSTRALIA LTD,Utilities,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
SLD,"SALUDA MEDICAL, INC.",Health Care Equipment & Services,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
SIV,SIV CAPITAL LIMITED,Capital Goods,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
SET,SOLARIS AUSTRALIAN EQUITY INCOME PLUS LIMITED,Class Pend,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
STW,STATE STREET SPDR S&P/ASX 200 ETF,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
SLF,STATE STREET SPDR S&P/ASX 200 LISTED PROPERTY ETF,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
SFY,STATE STREET SPDR S&P/ASX 50 ETF,Not Applic,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
SRT,STRATA INVESTMENT HOLDINGS PLC,Materials,corrupt_or_incomplete_light_data,missing_turnover_ratio_ttm
KOA,THE KOALA COMPANY LIMITED,Class Pend,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
VAL,VALIANT GOLD LIMITED,Materials,corrupt_or_incomplete_light_data,"missing_market_cap,missing_shares_outstanding,missing_turnover_ratio_ttm"
